InputDir,FileName,L/R,SampFreq,nPoints,duration,MaxAmp,rms,dB
speech\ASLQ,ASLQ0101,L,22050,30197,       1.369,    0.4909,  0.0936,-17.6
speech\ASLQ,ASLQ0102,L,22050,33450,       1.517,    0.6614,  0.0765,-19.3
speech\ASLQ,ASLQ0103,L,22050,24219,       1.098,    0.6095,  0.0805,-18.9
speech\ASLQ,ASLQ0104,L,22050,37926,       1.720,    0.4582,  0.0983,-17.1
speech\ASLQ,ASLQ0105,L,22050,43361,       1.966,    0.5081,  0.0640,-20.9
speech\ASLQ,ASLQ0106,L,22050,32309,       1.465,    0.5872,  0.0931,-17.6
speech\ASLQ,ASLQ0107,L,22050,41706,       1.891,    0.6691,  0.0762,-19.3
speech\ASLQ,ASLQ0108,L,22050,37747,       1.712,    0.5401,  0.0901,-17.9
speech\ASLQ,ASLQ0109,L,22050,33235,       1.507,    0.7327,  0.1037,-16.7
speech\ASLQ,ASLQ0110,L,22050,37050,       1.680,    0.6247,  0.0849,-18.4
speech\ASLQ,ASLQ0111,L,22050,35580,       1.614,    0.5001,  0.0767,-19.3
speech\ASLQ,ASLQ0112,L,22050,35930,       1.629,    0.5030,  0.0884,-18.1
speech\ASLQ,ASLQ0113,L,22050,38780,       1.759,    0.5522,  0.0852,-18.4
speech\ASLQ,ASLQ0114,L,22050,31297,       1.419,    0.5303,  0.1074,-16.4
speech\ASLQ,ASLQ0115,L,22050,36036,       1.634,    0.5829,  0.0921,-17.7
speech\ASLQ,ASLQ0201,L,22050,28433,       1.289,    0.4769,  0.0983,-17.1
speech\ASLQ,ASLQ0202,L,22050,29513,       1.338,    0.5843,  0.0764,-19.3
speech\ASLQ,ASLQ0203,L,22050,26534,       1.203,    0.5887,  0.0921,-17.7
speech\ASLQ,ASLQ0204,L,22050,38635,       1.752,    0.4868,  0.0864,-18.3
speech\ASLQ,ASLQ0205,L,22050,32173,       1.459,    0.6766,  0.1013,-16.9
speech\ASLQ,ASLQ0206,L,22050,34891,       1.582,    0.6149,  0.0976,-17.2
speech\ASLQ,ASLQ0207,L,22050,28321,       1.284,    0.5955,  0.0906,-17.9
speech\ASLQ,ASLQ0208,L,22050,39484,       1.791,    0.6341,  0.1033,-16.7
speech\ASLQ,ASLQ0209,L,22050,34931,       1.584,    0.4705,  0.0864,-18.3
speech\ASLQ,ASLQ0210,L,22050,39532,       1.793,    0.6736,  0.0853,-18.4
speech\ASLQ,ASLQ0211,L,22050,36653,       1.662,    0.6204,  0.0878,-18.1
speech\ASLQ,ASLQ0212,L,22050,36856,       1.671,    0.5417,  0.0826,-18.7
speech\ASLQ,ASLQ0213,L,22050,26791,       1.215,    0.3672,  0.0945,-17.5
speech\ASLQ,ASLQ0214,L,22050,35092,       1.591,    0.4225,  0.0716,-19.9
speech\ASLQ,ASLQ0215,L,22050,39822,       1.806,    0.5076,  0.0725,-19.8
speech\ASLQ,ASLQ0301,L,22050,32253,       1.463,    0.7056,  0.1128,-15.9
speech\ASLQ,ASLQ0302,L,22050,35744,       1.621,    0.4016,  0.0814,-18.8
speech\ASLQ,ASLQ0303,L,22050,28536,       1.294,    0.5310,  0.0719,-19.9
speech\ASLQ,ASLQ0304,L,22050,36588,       1.659,    0.4887,  0.0671,-20.5
speech\ASLQ,ASLQ0305,L,22050,31083,       1.410,    0.5518,  0.0661,-20.6
speech\ASLQ,ASLQ0306,L,22050,30636,       1.389,    0.5782,  0.0714,-19.9
speech\ASLQ,ASLQ0307,L,22050,33166,       1.504,    0.4183,  0.0684,-20.3
speech\ASLQ,ASLQ0308,L,22050,34729,       1.575,    0.6071,  0.0696,-20.1
speech\ASLQ,ASLQ0309,L,22050,45211,       2.050,    0.6594,  0.0875,-18.2
speech\ASLQ,ASLQ0310,L,22050,26669,       1.209,    0.4165,  0.0739,-19.6
speech\ASLQ,ASLQ0311,L,22050,33850,       1.535,    0.6488,  0.0748,-19.5
speech\ASLQ,ASLQ0312,L,22050,34978,       1.586,    0.5081,  0.0920,-17.7
speech\ASLQ,ASLQ0313,L,22050,30589,       1.387,    0.5177,  0.0851,-18.4
speech\ASLQ,ASLQ0314,L,22050,41757,       1.894,    0.7088,  0.0889,-18.0
speech\ASLQ,ASLQ0315,L,22050,31042,       1.408,    0.5534,  0.0975,-17.2
speech\ASLQ,ASLQ0401,L,22050,39789,       1.804,    0.5806,  0.0909,-17.8
speech\ASLQ,ASLQ0402,L,22050,25796,       1.170,    0.7292,  0.0724,-19.8
speech\ASLQ,ASLQ0403,L,22050,24666,       1.119,    0.4591,  0.0708,-20.0
speech\ASLQ,ASLQ0404,L,22050,33398,       1.515,    0.6241,  0.0754,-19.4
speech\ASLQ,ASLQ0405,L,22050,31846,       1.444,    0.8223,  0.0839,-18.5
speech\ASLQ,ASLQ0406,L,22050,42058,       1.907,    0.6995,  0.0837,-18.5
speech\ASLQ,ASLQ0407,L,22050,29830,       1.353,    0.5718,  0.0815,-18.8
speech\ASLQ,ASLQ0408,L,22050,35577,       1.613,    0.6040,  0.0803,-18.9
speech\ASLQ,ASLQ0409,L,22050,24424,       1.108,    0.7068,  0.0945,-17.5
speech\ASLQ,ASLQ0410,L,22050,37981,       1.722,    0.5569,  0.0820,-18.7
speech\ASLQ,ASLQ0411,L,22050,36695,       1.664,    0.4803,  0.0696,-20.1
speech\ASLQ,ASLQ0412,L,22050,35434,       1.607,    0.4689,  0.0604,-21.4
speech\ASLQ,ASLQ0413,L,22050,36482,       1.655,    0.4673,  0.0847,-18.4
speech\ASLQ,ASLQ0414,L,22050,38221,       1.733,    0.6104,  0.0801,-18.9
speech\ASLQ,ASLQ0415,L,22050,38169,       1.731,    0.5087,  0.0872,-18.2
speech\ASLQ,ASLQ0501,L,22050,37734,       1.711,    0.4576,  0.0853,-18.4
speech\ASLQ,ASLQ0502,L,22050,30236,       1.371,    0.5617,  0.0847,-18.4
speech\ASLQ,ASLQ0503,L,22050,35861,       1.626,    0.4984,  0.0764,-19.3
speech\ASLQ,ASLQ0504,L,22050,29737,       1.349,    0.4786,  0.0896,-17.9
speech\ASLQ,ASLQ0505,L,22050,34204,       1.551,    0.4265,  0.0872,-18.2
speech\ASLQ,ASLQ0506,L,22050,26107,       1.184,    0.4019,  0.0942,-17.5
speech\ASLQ,ASLQ0507,L,22050,32028,       1.453,    0.5280,  0.0683,-20.3
speech\ASLQ,ASLQ0508,L,22050,40118,       1.819,    0.4985,  0.0888,-18.0
speech\ASLQ,ASLQ0509,L,22050,29936,       1.358,    0.5507,  0.0887,-18.0
speech\ASLQ,ASLQ0510,L,22050,33726,       1.530,    0.4043,  0.0752,-19.5
speech\ASLQ,ASLQ0511,L,22050,38575,       1.749,    0.5633,  0.0868,-18.2
speech\ASLQ,ASLQ0512,L,22050,35587,       1.614,    0.4406,  0.0860,-18.3
speech\ASLQ,ASLQ0513,L,22050,29752,       1.349,    0.4191,  0.0668,-20.5
speech\ASLQ,ASLQ0514,L,22050,34156,       1.549,    0.5475,  0.0990,-17.1
speech\ASLQ,ASLQ0515,L,22050,37661,       1.708,    0.4982,  0.0798,-18.9
