nBlocks,nPracticeTrials,TestType,fixed,SelfResponse,UnProcDir,SentenceDirectory,ModulationRate,start_DC,ListNumber,NoiseFile,SNR_dB,MaxTrials,FINAL_TURNS,ear,StartMessage
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,14.8,PrincessPea_shortened_1_094907_faster.wav,0,19,45,r,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,7.3,Fbabble1_not_filtered_0_905_slower_AMSSN-EQ.wav,0,19,45,A,
1,5,adaptiveUp,target,1,BKBQ,ASLQ,5,0.97,17.4,none,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,1.05,Fbabble1_not_filtered_0_905_slower_FxNx-EQ.wav,0,19,45,r,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,12.35,PrincessPea_shortened_1_094907_faster.wav,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,16.2,PrincessPea_shortened_1_094907_faster_FxNx-EQ.wav,0,19,45,r,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,4.7,Fbabble1_not_filtered_0_905_slower.wav,0,19,45,r,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,9.75,Fbabble1_not_filtered_0_905_slower_FxNx-EQ.wav,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,8.5,PrincessPea_shortened_1_094907_faster_FxNx-EQ.wav,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,11.15,PrincessPea_shortened_1_094907_faster_AMSSN-EQ.wav,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,3.45,Fbabble1_not_filtered_0_905_slower.wav,0,19,45,A,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,13.6,Fbabble1_not_filtered_0_905_slower_AMSSN-EQ.wav,0,19,45,r,
1,5,adaptiveUp,masker,1,BKBQ,ASLQ,5,0.97,2.25,PrincessPea_shortened_1_094907_faster_AMSSN-EQ.wav,0,19,45,r,
1,5,adaptiveUp,target,1,BKBQ,ASLQ,5,0.97,6.1,none,0,19,45,r,
